Class Name,Source Image,Target Image,Similarity
1_train,31727.png,56991.png,0.012771487
1_train,31727.png,26610.png,0.012775898
1_train,31727.png,40504.png,0.012883723
1_train,6851.png,31727.png,0.012933433
1_train,31357.png,31727.png,0.013082206
1_train,9430.png,21601.png,0.0131620765
1_train,31727.png,43553.png,0.013237357
1_train,31727.png,6709.png,0.013388634
1_train,31727.png,21697.png,0.013616025
1_train,59958.png,31727.png,0.013970435
1_train,44661.png,31727.png,0.013992548
1_train,31727.png,46029.png,0.014150739
1_train,47327.png,31727.png,0.0142816305
1_train,31597.png,31727.png,0.014283419
1_train,21166.png,31727.png,0.014324546
1_train,21751.png,31727.png,0.014408648
1_train,31727.png,54071.png,0.01456368
1_train,22066.png,21601.png,0.014588833
1_train,17637.png,31727.png,0.01479131
1_train,31727.png,6745.png,0.014860213
1_train,31727.png,43887.png,0.014923334
1_train,31727.png,6108.png,0.014947176
1_train,23280.png,31727.png,0.015167952
1_train,48184.png,21601.png,0.01523757
1_train,31727.png,52051.png,0.015288293
1_train,31727.png,56081.png,0.015319049
1_train,35367.png,31727.png,0.015360594
1_train,23543.png,31727.png,0.015642762
1_train,31727.png,3431.png,0.01579529
1_train,33394.png,21601.png,0.01580149
1_train,2619.png,31727.png,0.01581788
1_train,25540.png,21601.png,0.015822768
1_train,50232.png,21601.png,0.01590538
1_train,56123.png,31727.png,0.015939832
1_train,31727.png,8664.png,0.015969574
1_train,31727.png,29615.png,0.016083956
1_train,46089.png,31727.png,0.01622194
1_train,21601.png,27396.png,0.016533136
1_train,31012.png,31727.png,0.016605735
1_train,31727.png,42786.png,0.016610265
1_train,20563.png,31727.png,0.016947925
1_train,31727.png,18053.png,0.017142475
1_train,7315.png,31727.png,0.017169893
2_train,32561.png,24360.png,0.02166146
2_train,52109.png,35947.png,0.022578895
2_train,27791.png,27367.png,0.02453798
2_train,29967.png,45779.png,0.025590599
2_train,32751.png,29967.png,0.026628256
2_train,47966.png,35947.png,0.026760876
2_train,18845.png,32751.png,0.02813071
2_train,33930.png,46001.png,0.028484643
2_train,22112.png,39899.png,0.028781414
2_train,1900.png,27791.png,0.02906996
2_train,18514.png,35947.png,0.030244172
2_train,29967.png,32561.png,0.030450046
2_train,33930.png,29967.png,0.030539513
2_train,32561.png,18845.png,0.030805051
2_train,35947.png,1988.png,0.031121612
2_train,35947.png,20710.png,0.0317142
2_train,24360.png,31188.png,0.031878054
2_train,29967.png,39470.png,0.03200543
2_train,27791.png,49106.png,0.032075226
2_train,36942.png,27791.png,0.03208065
2_train,35947.png,24939.png,0.032092154
2_train,54350.png,27791.png,0.032115817
2_train,31709.png,27791.png,0.03259927
2_train,55011.png,35947.png,0.03262937
2_train,35927.png,55011.png,0.032678246
2_train,29967.png,35947.png,0.03286636
2_train,1852.png,33930.png,0.03289354
2_train,27791.png,27451.png,0.032921195
2_train,27791.png,42341.png,0.033145785
2_train,29967.png,22500.png,0.03320241
2_train,23038.png,27791.png,0.033361495
2_train,16166.png,29967.png,0.033550262
2_train,46001.png,35927.png,0.03368169
2_train,27791.png,4518.png,0.033700168
2_train,29967.png,58409.png,0.034109175
2_train,27791.png,25238.png,0.034182668
2_train,18845.png,27475.png,0.034282804
2_train,29967.png,9203.png,0.034322977
2_train,55011.png,45957.png,0.034357727
2_train,29967.png,35927.png,0.034402728
2_train,55011.png,35909.png,0.03445059
2_train,58409.png,24360.png,0.03451121
2_train,1900.png,55011.png,0.034557343
2_train,27791.png,32627.png,0.034871876
2_train,35947.png,46001.png,0.03503084
2_train,35947.png,1852.png,0.035171986
2_train,13330.png,29967.png,0.035211563
2_train,35927.png,27791.png,0.03535396
2_train,29967.png,41710.png,0.0354082
2_train,27791.png,55170.png,0.035461605
2_train,35947.png,24971.png,0.035494328
2_train,27393.png,27791.png,0.03553313
2_train,29967.png,49090.png,0.035561144
2_train,29967.png,866.png,0.03556162
2_train,47354.png,35947.png,0.03560424
2_train,32751.png,27791.png,0.03575152
2_train,44502.png,27791.png,0.035794437
2_train,35090.png,27791.png,0.035876513
2_train,5307.png,35947.png,0.03588915
2_train,5307.png,33930.png,0.035913825
2_train,57104.png,29967.png,0.035966873
2_train,10514.png,29967.png,0.036078513
2_train,15948.png,29967.png,0.03622055
2_train,45779.png,54981.png,0.03631234
2_train,29967.png,25574.png,0.036327958
2_train,57142.png,27791.png,0.036350787
2_train,58098.png,27791.png,0.036388636
2_train,27791.png,32763.png,0.03663397
2_train,32561.png,27791.png,0.036639094
2_train,1374.png,35947.png,0.03665495
2_train,29967.png,24786.png,0.036696732
2_train,27791.png,56598.png,0.03671044
2_train,27791.png,43794.png,0.036762238
2_train,55011.png,33930.png,0.036798477
2_train,29967.png,27475.png,0.036834955
2_train,55011.png,19602.png,0.037019193
2_train,53585.png,33930.png,0.03723532
2_train,56168.png,27791.png,0.037248075
2_train,56598.png,55011.png,0.03729999
2_train,27791.png,27138.png,0.03744322
2_train,32212.png,35947.png,0.037443876
2_train,53585.png,35947.png,0.037455797
2_train,20742.png,29967.png,0.037561774
2_train,23018.png,27791.png,0.037585378
2_train,35161.png,35927.png,0.037628055
2_train,11738.png,27791.png,0.037645757
2_train,5307.png,866.png,0.037709355
2_train,28944.png,35947.png,0.0379076
2_train,7428.png,29967.png,0.037917852
2_train,42373.png,27791.png,0.03797239
2_train,27791.png,7413.png,0.03797829
2_train,22606.png,27791.png,0.037979364
2_train,10707.png,22112.png,0.038060963
2_train,19602.png,27791.png,0.038212895
2_train,41710.png,59734.png,0.0382303
2_train,27791.png,16729.png,0.038271368
2_train,33591.png,46001.png,0.038273156
2_train,27393.png,29839.png,0.03831768
2_train,27791.png,35456.png,0.038416564
2_train,54981.png,54078.png,0.038420618
3_train,53570.png,18986.png,0.0353384
3_train,13831.png,13713.png,0.03842956
3_train,52129.png,23490.png,0.041726053
3_train,34048.png,17062.png,0.043210387
3_train,32688.png,52129.png,0.044336617
3_train,52394.png,52129.png,0.045108795
3_train,52129.png,47618.png,0.047086537
3_train,11693.png,57474.png,0.047248125
3_train,22522.png,11693.png,0.047614515
3_train,14916.png,11693.png,0.04776597
3_train,11583.png,17062.png,0.04788947
3_train,31703.png,11693.png,0.047968328
3_train,11693.png,21112.png,0.04812044
3_train,52129.png,51274.png,0.048321545
3_train,34048.png,52404.png,0.04839909
3_train,39851.png,14266.png,0.048962653
3_train,52014.png,53570.png,0.049189985
3_train,9074.png,34048.png,0.04979843
3_train,2092.png,52129.png,0.049880445
3_train,12812.png,1872.png,0.05008006
3_train,11545.png,57474.png,0.05016941
3_train,11545.png,2074.png,0.050195396
3_train,3684.png,34048.png,0.05042517
3_train,25034.png,33510.png,0.0506711
3_train,14266.png,11545.png,0.050730467
3_train,21112.png,39851.png,0.050970674
3_train,2092.png,11693.png,0.05111897
3_train,52129.png,228.png,0.051734447
3_train,59980.png,13713.png,0.05196607
3_train,17062.png,25034.png,0.05202192
3_train,12812.png,31745.png,0.052027643
3_train,2092.png,39851.png,0.05207795
3_train,16954.png,31345.png,0.052242935
3_train,11747.png,17062.png,0.052392483
3_train,52404.png,11693.png,0.052534282
3_train,2074.png,11693.png,0.052571476
3_train,43552.png,11693.png,0.05279231
3_train,17062.png,11693.png,0.05283618
3_train,14266.png,11705.png,0.053049564
3_train,33510.png,52129.png,0.053317368
3_train,3684.png,11693.png,0.053459466
3_train,54798.png,34048.png,0.053518116
3_train,48258.png,52129.png,0.053758144
3_train,31345.png,46070.png,0.0540812
3_train,23490.png,39851.png,0.05420035
3_train,2092.png,52281.png,0.05432403
3_train,46134.png,12812.png,0.05506879
3_train,23412.png,2092.png,0.055076957
3_train,39871.png,53570.png,0.0551641
3_train,1260.png,11693.png,0.055203676
3_train,23412.png,14266.png,0.055260062
3_train,12812.png,26358.png,0.05535382
3_train,11583.png,37690.png,0.05546868
3_train,21038.png,12812.png,0.055552065
3_train,11545.png,33510.png,0.055590153
3_train,52404.png,11583.png,0.056204677
3_train,14028.png,13713.png,0.05633557
3_train,57919.png,13713.png,0.056544542
3_train,11693.png,17712.png,0.05661738
3_train,33510.png,11583.png,0.05667293
3_train,52129.png,52272.png,0.056825936
3_train,2092.png,28757.png,0.05698377
3_train,21112.png,18049.png,0.05699277
3_train,52129.png,26412.png,0.05706954
3_train,11693.png,18244.png,0.05707556
3_train,20016.png,53570.png,0.057086766
3_train,28757.png,57474.png,0.05711007
3_train,11693.png,41776.png,0.05714166
3_train,9074.png,11545.png,0.057182968
3_train,41776.png,11545.png,0.057243645
3_train,2092.png,11545.png,0.05729264
3_train,23412.png,57474.png,0.057314813
3_train,14266.png,52129.png,0.057466984
3_train,41453.png,32688.png,0.057473958
3_train,13969.png,21112.png,0.057498932
3_train,4836.png,31345.png,0.05752349
3_train,32688.png,11747.png,0.057523668
3_train,13713.png,49467.png,0.057555735
3_train,11545.png,54798.png,0.05756992
3_train,12153.png,53570.png,0.057802916
3_train,52129.png,39706.png,0.05791515
3_train,12812.png,26866.png,0.05797565
3_train,228.png,18049.png,0.058019996
3_train,32234.png,11693.png,0.058086634
3_train,23490.png,13983.png,0.058131874
3_train,11545.png,32688.png,0.058137417
3_train,18049.png,2092.png,0.058154643
3_train,54798.png,12812.png,0.058169186
3_train,57474.png,18986.png,0.058175325
3_train,52940.png,9074.png,0.058200717
3_train,11693.png,31667.png,0.058318377
3_train,14266.png,18986.png,0.058395088
3_train,11747.png,21946.png,0.058421135
3_train,32688.png,39851.png,0.058422327
3_train,31345.png,43942.png,0.058426857
3_train,35180.png,11583.png,0.058466256
3_train,50012.png,53570.png,0.058562696
3_train,57474.png,11583.png,0.058630705
3_train,3201.png,2092.png,0.058903515
3_train,11583.png,2074.png,0.05899781
4_train,1004.png,4952.png,0.027944267
4_train,31114.png,32830.png,0.028175533
4_train,6810.png,16068.png,0.028541744
4_train,17576.png,54452.png,0.029534996
4_train,17576.png,6810.png,0.030244768
4_train,54452.png,18551.png,0.030641496
4_train,6810.png,17926.png,0.03234476
4_train,24514.png,31114.png,0.032375693
4_train,55490.png,17406.png,0.03276342
4_train,31114.png,33726.png,0.033340573
4_train,6810.png,53363.png,0.03341484
4_train,17576.png,40288.png,0.033531666
4_train,49398.png,31114.png,0.03354305
4_train,6810.png,10626.png,0.033763826
4_train,15376.png,6810.png,0.033792734
4_train,6810.png,31114.png,0.03422612
4_train,31114.png,28706.png,0.034249187
4_train,30536.png,31114.png,0.034294426
4_train,4952.png,6810.png,0.03432256
4_train,6810.png,18551.png,0.034407973
4_train,5936.png,17576.png,0.034511447
