Class Name,Source Image,Target Image,Similarity
1_train,21601.png,31093.png,0.035035253
1_train,31494.png,21601.png,0.035190284
1_train,21601.png,51010.png,0.03520733
1_train,21601.png,55121.png,0.035559297
1_train,46015.png,32743.png,0.035628498
1_train,43897.png,6372.png,0.036064625
1_train,21601.png,50150.png,0.036344826
1_train,21601.png,42602.png,0.03642267
1_train,58238.png,21601.png,0.036663532
1_train,14571.png,43897.png,0.03692901
1_train,21601.png,16944.png,0.03701347
1_train,21601.png,35266.png,0.03713578
1_train,21601.png,49292.png,0.037531555
1_train,58588.png,21601.png,0.03774911
1_train,8987.png,21601.png,0.037780643
1_train,41210.png,21601.png,0.038509488
1_train,27454.png,43897.png,0.038586855
1_train,21601.png,16591.png,0.03871864
1_train,43897.png,1463.png,0.03898686
1_train,21601.png,12845.png,0.039090514
1_train,47224.png,21601.png,0.04000008
1_train,17711.png,21601.png,0.04009545
1_train,21601.png,41492.png,0.040175855
1_train,29603.png,21601.png,0.040183783
1_train,53314.png,21601.png,0.040458143
1_train,44813.png,21601.png,0.040465772
1_train,22848.png,21601.png,0.040629447
1_train,56602.png,21601.png,0.04067248
1_train,51836.png,21601.png,0.040807366
1_train,18075.png,21601.png,0.040904284
1_train,38482.png,21601.png,0.041662216
1_train,1031.png,43897.png,0.041826844
1_train,21601.png,26473.png,0.041897476
1_train,21601.png,21687.png,0.04227805
1_train,53176.png,21601.png,0.042335212
1_train,29587.png,21601.png,0.04241252
1_train,21601.png,44556.png,0.042436182
1_train,26698.png,21601.png,0.042686045
1_train,21601.png,31846.png,0.044077277
1_train,21601.png,18958.png,0.044330716
1_train,55888.png,21601.png,0.04458946
1_train,21601.png,7469.png,0.044646382
1_train,21601.png,10892.png,0.044651985
2_train,24360.png,32561.png,0.02166146
2_train,52109.png,35947.png,0.022578895
2_train,27791.png,27367.png,0.02453798
2_train,45779.png,29967.png,0.025590599
2_train,11420.png,59734.png,0.025919199
2_train,35947.png,558.png,0.02625835
2_train,33930.png,46001.png,0.028484643
2_train,22112.png,39899.png,0.028781414
2_train,45501.png,33505.png,0.02965635
2_train,32561.png,29967.png,0.030450046
2_train,29967.png,33930.png,0.030539513
