Índice: 47, Valor CSG: 0.9999, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00467.png
Índice: 48, Valor CSG: 0.9996996996996997, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00470.png
Índice: 49, Valor CSG: 0.9998997996792001, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00515.png
Índice: 50, Valor CSG: 0.9998997995991984, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00558.png
Índice: 51, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00565.png
Índice: 52, Valor CSG: 0.9998997995991984, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00573.png
Índice: 53, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00586.png
Índice: 54, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00597.png
Índice: 55, Valor CSG: 0.9994999639372235, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00599.png
Índice: 56, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00607.png
Índice: 57, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00608.png
Índice: 58, Valor CSG: 0.9999, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00637.png
Índice: 59, Valor CSG: 0.9997997997997998, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00641.png
Índice: 60, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00646.png
Índice: 61, Valor CSG: 0.999498997995992, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00650.png
Índice: 62, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00664.png
Índice: 63, Valor CSG: 0.9993975467378731, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00669.png
Índice: 64, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00671.png
Índice: 65, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00673.png
Índice: 66, Valor CSG: 0.9996, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00676.png
Índice: 67, Valor CSG: 0.9959879670981642, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00688.png
Índice: 68, Valor CSG: 0.999699678018692, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00690.png
Índice: 69, Valor CSG: 0.9992964319789392, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00695.png
Índice: 70, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00715.png
Índice: 71, Valor CSG: 0.9990963208297298, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00716.png
Índice: 72, Valor CSG: 0.9998998998998999, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00727.png
Índice: 73, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00739.png
Índice: 74, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00760.png
Índice: 75, Valor CSG: 0.9998997995991984, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00786.png
Índice: 76, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00790.png
Índice: 77, Valor CSG: 0.9993993993993994, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00792.png
Índice: 78, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00811.png
Índice: 79, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00819.png
Índice: 80, Valor CSG: 0.9997995991984175, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00825.png
Índice: 81, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00829.png
Índice: 82, Valor CSG: 0.999297842888849, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00831.png
Índice: 83, Valor CSG: 0.999899691921438, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00845.png
Índice: 84, Valor CSG: 0.9998997995991984, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00862.png
Índice: 85, Valor CSG: 0.9998997995991984, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00863.png
Índice: 86, Valor CSG: 0.9997995991984175, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00866.png
Índice: 87, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00870.png
Índice: 88, Valor CSG: 0.9999, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00874.png
Índice: 89, Valor CSG: 0.9998997996792001, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00878.png
Índice: 90, Valor CSG: 0.9998998998998999, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00882.png
Índice: 91, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00896.png
Índice: 92, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00898.png
Índice: 93, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00911.png
Índice: 94, Valor CSG: 0.9991, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00916.png
Índice: 95, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00932.png
Índice: 96, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00945.png
Índice: 97, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00948.png
Índice: 98, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00950.png
Índice: 99, Valor CSG: 0.9996987951807542, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00957.png
Índice: 100, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00986.png
Índice: 101, Valor CSG: 0.9999, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00995.png
Índice: 102, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00998.png
Índice: 103, Valor CSG: 0.9988988194018704, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01014.png
Índice: 104, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01024.png
Índice: 105, Valor CSG: 0.9999, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01030.png
Índice: 106, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01031.png
Índice: 107, Valor CSG: 0.9993993993993994, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01033.png
Índice: 108, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01050.png
Índice: 109, Valor CSG: 0.9996999783623342, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01053.png
Índice: 110, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01056.png
Índice: 111, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01065.png
Índice: 112, Valor CSG: 0.9998997995992088, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01070.png
Índice: 113, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01074.png
Índice: 114, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01088.png
Índice: 115, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01112.png
Índice: 116, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01121.png
Índice: 117, Valor CSG: 0.9998997995991984, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01123.png
Índice: 118, Valor CSG: 0.9991991413831784, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01124.png
Índice: 119, Valor CSG: 0.9996996996996997, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01129.png
Índice: 120, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01163.png
Índice: 121, Valor CSG: 0.9986973947895792, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01166.png
Índice: 122, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01168.png
Índice: 123, Valor CSG: 0.9993987975951903, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01173.png
Índice: 124, Valor CSG: 0.9997997997997998, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01179.png
Índice: 125, Valor CSG: 0.999799799959483, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01180.png
Índice: 126, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01181.png
Índice: 127, Valor CSG: 0.9995, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01208.png
Índice: 128, Valor CSG: 0.9998996991774646, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01219.png
Índice: 129, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01227.png
Índice: 130, Valor CSG: 0.9997997997998206, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01247.png
Índice: 131, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01268.png
Índice: 132, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01269.png
Índice: 133, Valor CSG: 0.9975, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01274.png
Índice: 134, Valor CSG: 0.9995983938956321, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01275.png
Índice: 135, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01280.png
Índice: 136, Valor CSG: 0.9998997995992088, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01334.png
Índice: 137, Valor CSG: 0.9997997853457946, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01346.png
Índice: 138, Valor CSG: 0.9998998998998999, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01353.png
Índice: 139, Valor CSG: 0.9998998926728974, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01368.png
Índice: 140, Valor CSG: 0.9998998998998999, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01373.png
Índice: 141, Valor CSG: 0.9998997995991984, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01377.png
Índice: 142, Valor CSG: 0.9998997995991984, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01386.png
